laureate_id,laureate_name,gender,award_year,category,motivation_en,affiliation_name,affiliation_city,affiliation_country,affiliation_type,count
52,Sir Edward Victor Appleton,male,1947,Physics,for his investigations of the physics of the upper atmosphere especially for the discovery of the so-called Appleton layer,Department of Scientific and Industrial Research,London,United Kingdom,research_institute,1
53,Patrick Maynard Stuart Blackett,male,1948,Physics,"for his development of the Wilson cloud chamber method, and his discoveries therewith in the fields of nuclear physics and cosmic radiation",Victoria University,Manchester,United Kingdom,university,1
54,Hideki Yukawa,male,1949,Physics,for his prediction of the existence of mesons on the basis of theoretical work on nuclear forces,Columbia University,"New York, NY",United States,university,1
54,Hideki Yukawa,male,1949,Physics,for his prediction of the existence of mesons on the basis of theoretical work on nuclear forces,Kyoto University,Kyoto,Japan,university,1
55,Cecil Frank Powell,male,1950,Physics,for his development of the photographic method of studying nuclear processes and his discoveries regarding mesons made with this method,Bristol University,Bristol,United Kingdom,university,1
56,Sir John Douglas Cockcroft,male,1951,Physics,for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles,Atomic Energy Research Establishment,"Harwell, Berkshire",United Kingdom,research_institute,1
57,Ernest Thomas Sinton Walton,male,1951,Physics,for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles,Trinity College,Dublin,Ireland,university,1
58,Felix Bloch,male,1952,Physics,for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith,Stanford University,"Stanford, CA",United States,university,1
59,Edward Mills Purcell,male,1952,Physics,for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith,Harvard University,"Cambridge, MA",United States,university,1
60,Frits Zernike,male,1953,Physics,"for his demonstration of the phase contrast method, especially for his invention of the phase contrast microscope",Groningen University,Groningen,Netherlands,university,1
61,Max Born,male,1954,Physics,"for his fundamental research in quantum mechanics, especially for his statistical interpretation of the wavefunction",Edinburgh University,Edinburgh,United Kingdom,university,1
62,Walther Bothe,male,1954,Physics,for the coincidence method and his discoveries made therewith,University of Heidelberg,Heidelberg,Germany,university,1
62,Walther Bothe,male,1954,Physics,for the coincidence method and his discoveries made therewith,Max-Planck-Institut für medizinische Forschung,Heidelberg,Germany,other,1
63,Willis Eugene Lamb,male,1955,Physics,for his discoveries concerning the fine structure of the hydrogen spectrum,Stanford University,"Stanford, CA",United States,university,1
64,Polykarp Kusch,male,1955,Physics,for his precision determination of the magnetic moment of the electron,Columbia University,"New York, NY",United States,university,1
65,William Bradford Shockley,male,1956,Physics,for their researches on semiconductors and their discovery of the transistor effect,"Semiconductor Laboratory of Beckman Instruments, Inc.","Mountain View, CA",United States,research_institute,1
66,John Bardeen,male,1956,Physics,for their researches on semiconductors and their discovery of the transistor effect,University of Illinois,"Urbana, IL",United States,university,1
66,John Bardeen,male,1972,Physics,"for their jointly developed theory of superconductivity, usually called the BCS-theory",University of Illinois,"Urbana, IL",United States,university,1
67,Walter Houser Brattain,male,1956,Physics,for their researches on semiconductors and their discovery of the transistor effect,Bell Telephone Laboratories,"Murray Hill, NJ",United States,research_institute,1
68,Chen Ning Yang,male,1957,Physics,for their penetrating investigation of the so-called parity laws which has led to important discoveries regarding the elementary particles,Institute for Advanced Study,"Princeton, NJ",United States,research_institute,1
69,Tsung-Dao (T.D.) Lee,male,1957,Physics,for their penetrating investigation of the so-called parity laws which has led to important discoveries regarding the elementary particles,Columbia University,"New York, NY",United States,university,1
70,Pavel Alekseyevich Cherenkov,male,1958,Physics,for the discovery and the interpretation of the Cherenkov effect,P.N. Lebedev Physical Institute,Moscow,Russia,research_institute,1
71,Igor Yevgenyevich Tamm,male,1958,Physics,for the discovery and the interpretation of the Cherenkov effect,Lomonosov Moscow State University,Moscow,Russia,university,1
71,Igor Yevgenyevich Tamm,male,1958,Physics,for the discovery and the interpretation of the Cherenkov effect,P.N. Lebedev Physical Institute,Moscow,Russia,research_institute,1
72,Emilio Gino Segrè,male,1959,Physics,for their discovery of the antiproton,University of California,"Berkeley, CA",United States,university,1
73,Owen Chamberlain,male,1959,Physics,for their discovery of the antiproton,University of California,"Berkeley, CA",United States,university,1
74,Donald Arthur Glaser,male,1960,Physics,for the invention of the bubble chamber,University of California,"Berkeley, CA",United States,university,1
75,Robert Hofstadter,male,1961,Physics,for his pioneering studies of electron scattering in atomic nuclei and for his thereby achieved discoveries concerning the structure of the nucleons,Stanford University,"Stanford, CA",United States,university,1
76,Rudolf Ludwig Mössbauer,male,1961,Physics,for his researches concerning the resonance absorption of gamma radiation and his discovery in this connection of the effect which bears his name,Technical University,Munich,Germany,university,1
76,Rudolf Ludwig Mössbauer,male,1961,Physics,for his researches concerning the resonance absorption of gamma radiation and his discovery in this connection of the effect which bears his name,California Institute of Technology (Caltech),"Pasadena, CA",United States,university,1
77,Lev Davidovich Landau,male,1962,Physics,"for his pioneering theories for condensed matter, especially liquid helium",Academy of Sciences,Moscow,Russia,university,1
78,Eugene Paul Wigner,male,1963,Physics,"for his contributions to the theory of the atomic nucleus and the elementary particles, particularly through the discovery and application of fundamental symmetry principles",Princeton University,"Princeton, NJ",United States,university,1
79,Maria Goeppert Mayer,female,1963,Physics,for their discoveries concerning nuclear shell structure,University of California,"San Diego, CA",United States,university,1
80,J. Hans D. Jensen,male,1963,Physics,for their discoveries concerning nuclear shell structure,University of Heidelberg,Heidelberg,Germany,university,1
81,Charles Hard Townes,male,1964,Physics,"for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle",Massachusetts Institute of Technology (MIT),"Cambridge, MA",United States,university,1
82,Nicolay Gennadiyevich Basov,male,1964,Physics,"for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle",P.N. Lebedev Physical Institute,Moscow,Russia,research_institute,1
83,Aleksandr Mikhailovich Prokhorov,male,1964,Physics,"for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle",P.N. Lebedev Physical Institute,Moscow,Russia,research_institute,1
84,Sin-Itiro Tomonaga,male,1965,Physics,"for their fundamental work in quantum electrodynamics, with deep-ploughing consequences for the physics of elementary particles",Tokyo University of Education,Tokyo,Japan,university,1
85,Julian Schwinger,male,1965,Physics,"for their fundamental work in quantum electrodynamics, with deep-ploughing consequences for the physics of elementary particles",Harvard University,"Cambridge, MA",United States,university,1
86,Richard P. Feynman,male,1965,Physics,"for their fundamental work in quantum electrodynamics, with deep-ploughing consequences for the physics of elementary particles",California Institute of Technology (Caltech),"Pasadena, CA",United States,university,1
87,Alfred Kastler,male,1966,Physics,for the discovery and development of optical methods for studying Hertzian resonances in atoms,École Normale Supérieure,Paris,France,other,1
88,Hans Albrecht Bethe,male,1967,Physics,"for his contributions to the theory of nuclear reactions, especially his discoveries concerning the energy production in stars",Cornell University,"Ithaca, NY",United States,university,1
89,Luis Walter Alvarez,male,1968,Physics,"for his decisive contributions to elementary particle physics, in particular the discovery of a large number of resonance states, made possible through his development of the technique of using hydrogen bubble chamber and data analysis",University of California,"Berkeley, CA",United States,university,1
90,Murray Gell-Mann,male,1969,Physics,for his contributions and discoveries concerning the classification of elementary particles and their interactions,California Institute of Technology (Caltech),"Pasadena, CA",United States,university,1
91,Hannes Olof Gösta Alfvén,male,1970,Physics,for fundamental work and discoveries in magnetohydro-dynamics with fruitful applications in different parts of plasma physics,Royal Institute of Technology,Stockholm,Sweden,university,1
92,Louis Eugène Félix Néel,male,1970,Physics,for fundamental work and discoveries concerning antiferromagnetism and ferrimagnetism which have led to important applications in solid state physics,University of Grenoble,Grenoble,France,university,1
93,Dennis Gabor,male,1971,Physics,for his invention and development of the holographic method,Imperial College,London,United Kingdom,university,1
95,Leon Neil Cooper,male,1972,Physics,"for their jointly developed theory of superconductivity, usually called the BCS-theory",Brown University,"Providence, RI",United States,university,1
96,John Robert Schrieffer,male,1972,Physics,"for their jointly developed theory of superconductivity, usually called the BCS-theory",University of Pennsylvania,"Philadelphia, PA",United States,university,1
97,Leo Esaki,male,1973,Physics,"for their experimental discoveries regarding tunneling phenomena in semiconductors and superconductors, respectively",IBM Thomas J. Watson Research Center,"Yorktown Heights, NY",United States,research_institute,1
98,Ivar Giaever,male,1973,Physics,"for their experimental discoveries regarding tunneling phenomena in semiconductors and superconductors, respectively",General Electric Company,"Schenectady, NY",United States,company,1
99,Brian David Josephson,male,1973,Physics,"for his theoretical predictions of the properties of a supercurrent through a tunnel barrier, in particular those phenomena which are generally known as the Josephson effects",University of Cambridge,Cambridge,United Kingdom,university,1
100,Sir Martin Ryle,male,1974,Physics,"for their pioneering research in radio astrophysics: Ryle for his observations and inventions, in particular of the aperture synthesis technique, and Hewish for his decisive role in the discovery of pulsars",University of Cambridge,Cambridge,United Kingdom,university,1
101,Antony Hewish,male,1974,Physics,"for their pioneering research in radio astrophysics: Ryle for his observations and inventions, in particular of the aperture synthesis technique, and Hewish for his decisive role in the discovery of pulsars",University of Cambridge,Cambridge,United Kingdom,university,1
102,Aage Niels Bohr,male,1975,Physics,for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection,Niels Bohr Institute,Copenhagen,Denmark,research_institute,1
103,Ben Roy Mottelson,male,1975,Physics,for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection,Nordita,Copenhagen,Denmark,other,1
104,Leo James Rainwater,male,1975,Physics,for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection,Columbia University,"New York, NY",United States,university,1
105,Burton Richter,male,1976,Physics,for their pioneering work in the discovery of a heavy elementary particle of a new kind,Stanford Linear Accelerator Center,"Stanford, CA",United States,research_institute,1
106,Samuel Chao Chung Ting,male,1976,Physics,for their pioneering work in the discovery of a heavy elementary particle of a new kind,Massachusetts Institute of Technology (MIT),"Cambridge, MA",United States,university,1
107,Philip Warren Anderson,male,1977,Physics,for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems,Bell Telephone Laboratories,"Murray Hill, NJ",United States,research_institute,1
108,Sir Nevill Francis Mott,male,1977,Physics,for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems,University of Cambridge,Cambridge,United Kingdom,university,1
109,John Hasbrouck Van Vleck,male,1977,Physics,for their fundamental theoretical investigations of the electronic structure of magnetic and disordered systems,Harvard University,"Cambridge, MA",United States,university,1
110,Pyotr Leonidovich Kapitsa,male,1978,Physics,for his basic inventions and discoveries in the area of low-temperature physics,Academy of Sciences,Moscow,Russia,university,1
111,Arno Allan Penzias,male,1978,Physics,for their discovery of cosmic microwave background radiation,Bell Laboratories,"Holmdel, NJ",United States,research_institute,1
112,Robert Woodrow Wilson,male,1978,Physics,for their discovery of cosmic microwave background radiation,Bell Laboratories,"Holmdel, NJ",United States,research_institute,1
113,Sheldon Lee Glashow,male,1979,Physics,"for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current","Harvard University, Lyman Laboratory","Cambridge, MA",United States,university,1
114,Abdus Salam,male,1979,Physics,"for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current",International Centre for Theoretical Physics,Trieste,Italy,research_institute,1
114,Abdus Salam,male,1979,Physics,"for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current",Imperial College,London,United Kingdom,university,1
115,Steven Weinberg,male,1979,Physics,"for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current",Harvard University,"Cambridge, MA",United States,university,1
116,James Watson Cronin,male,1980,Physics,for the discovery of violations of fundamental symmetry principles in the decay of neutral K-mesons,University of Chicago,"Chicago, IL",United States,university,1
117,Val Logsdon Fitch,male,1980,Physics,for the discovery of violations of fundamental symmetry principles in the decay of neutral K-mesons,Princeton University,"Princeton, NJ",United States,university,1
118,Nicolaas Bloembergen,male,1981,Physics,for their contribution to the development of laser spectroscopy,Harvard University,"Cambridge, MA",United States,university,1
119,Arthur Leonard Schawlow,male,1981,Physics,for their contribution to the development of laser spectroscopy,Stanford University,"Stanford, CA",United States,university,1
120,Kai M. Siegbahn,male,1981,Physics,for his contribution to the development of high-resolution electron spectroscopy,Uppsala University,Uppsala,Sweden,university,1
121,Kenneth G. Wilson,male,1982,Physics,for his theory for critical phenomena in connection with phase transitions,Cornell University,"Ithaca, NY",United States,university,1
122,Subrahmanyan Chandrasekhar,male,1983,Physics,for his theoretical studies of the physical processes of importance to the structure and evolution of the stars,University of Chicago,"Chicago, IL",United States,university,1
123,William Alfred Fowler,male,1983,Physics,for his theoretical and experimental studies of the nuclear reactions of importance in the formation of the chemical elements in the universe,California Institute of Technology (Caltech),"Pasadena, CA",United States,university,1
124,Carlo Rubbia,male,1984,Physics,"for their decisive contributions to the large project, which led to the discovery of the field particles W and Z, communicators of weak interaction",CERN,Geneva,Switzerland,other,1
125,Simon van der Meer,male,1984,Physics,"for their decisive contributions to the large project, which led to the discovery of the field particles W and Z, communicators of weak interaction",CERN,Geneva,Switzerland,other,1
126,Klaus von Klitzing,male,1985,Physics,for the discovery of the quantized Hall effect,Max-Planck-Institut für Festkörperforschung,Stuttgart,Germany,other,1
127,Ernst Ruska,male,1986,Physics,"for his fundamental work in electron optics, and for the design of the first electron microscope",Fritz-Haber-Institut der Max-Planck-Gesellschaft,Berlin,Germany,other,1
128,Gerd Binnig,male,1986,Physics,for their design of the scanning tunneling microscope,IBM Zurich Research Laboratory,Rüschlikon,Switzerland,research_institute,1
129,Heinrich Rohrer,male,1986,Physics,for their design of the scanning tunneling microscope,IBM Zurich Research Laboratory,Rüschlikon,Switzerland,research_institute,1
130,J. Georg Bednorz,male,1987,Physics,for their important break-through in the discovery of superconductivity in ceramic materials,IBM Zurich Research Laboratory,Rüschlikon,Switzerland,research_institute,1
131,K. Alexander Müller,male,1987,Physics,for their important break-through in the discovery of superconductivity in ceramic materials,IBM Zurich Research Laboratory,Rüschlikon,Switzerland,research_institute,1
132,Leon M. Lederman,male,1988,Physics,for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino,Fermi National Accelerator Laboratory,"Batavia, IL",United States,research_institute,1
133,Melvin Schwartz,male,1988,Physics,for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino,"Digital Pathways, Inc.","Mountain View, CA",United States,company,1
134,Jack Steinberger,male,1988,Physics,for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino,CERN,Geneva,Switzerland,other,1
135,Norman F. Ramsey,male,1989,Physics,for the invention of the separated oscillatory fields method and its use in the hydrogen maser and other atomic clocks,Harvard University,"Cambridge, MA",United States,university,1
136,Hans G. Dehmelt,male,1989,Physics,for the development of the ion trap technique,University of Washington,"Seattle, WA",United States,university,1
137,Wolfgang Paul,male,1989,Physics,for the development of the ion trap technique,University of Bonn,Bonn,Germany,university,1
138,Jerome I. Friedman,male,1990,Physics,"for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons, which have been of essential importance for the development of the quark model in particle physics",Massachusetts Institute of Technology (MIT),"Cambridge, MA",United States,university,1
139,Henry W. Kendall,male,1990,Physics,"for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons, which have been of essential importance for the development of the quark model in particle physics",Massachusetts Institute of Technology (MIT),"Cambridge, MA",United States,university,1
140,Richard E. Taylor,male,1990,Physics,"for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons, which have been of essential importance for the development of the quark model in particle physics",Stanford University,"Stanford, CA",United States,university,1
141,Pierre-Gilles de Gennes,male,1991,Physics,"for discovering that methods developed for studying order phenomena in simple systems can be generalized to more complex forms of matter, in particular to liquid crystals and polymers",Collège de France,Paris,France,other,1
142,Georges Charpak,male,1992,Physics,"for his invention and development of particle detectors, in particular the multiwire proportional chamber",École Supérieure de Physique et Chimie,Paris,France,other,1
142,Georges Charpak,male,1992,Physics,"for his invention and development of particle detectors, in particular the multiwire proportional chamber",CERN,Geneva,Switzerland,other,1
143,Russell A. Hulse,male,1993,Physics,"for the discovery of a new type of pulsar, a discovery that has opened up new possibilities for the study of gravitation",Princeton University,"Princeton, NJ",United States,university,1
144,Joseph H. Taylor Jr.,male,1993,Physics,"for the discovery of a new type of pulsar, a discovery that has opened up new possibilities for the study of gravitation",Princeton University,"Princeton, NJ",United States,university,1
145,Bertram N. Brockhouse,male,1994,Physics,for the development of neutron spectroscopy,McMaster University,"Hamilton, Ontario",Canada,university,1
146,Clifford G. Shull,male,1994,Physics,for the development of the neutron diffraction technique,Massachusetts Institute of Technology (MIT),"Cambridge, MA",United States,university,1
147,Martin L. Perl,male,1995,Physics,for the discovery of the tau lepton,Stanford University,"Stanford, CA",United States,university,1
148,Frederick Reines,male,1995,Physics,for the detection of the neutrino,University of California,"Irvine, CA",United States,university,1
149,David M. Lee,male,1996,Physics,for their discovery of superfluidity in helium-3,Cornell University,"Ithaca, NY",United States,university,1
150,Douglas D. Osheroff,male,1996,Physics,for their discovery of superfluidity in helium-3,Stanford University,"Stanford, CA",United States,university,1
151,Robert C. Richardson,male,1996,Physics,for their discovery of superfluidity in helium-3,Cornell University,"Ithaca, NY",United States,university,1
152,Steven Chu,male,1997,Physics,for development of methods to cool and trap atoms with laser light,Stanford University,"Stanford, CA",United States,university,1
153,Claude Cohen-Tannoudji,male,1997,Physics,for development of methods to cool and trap atoms with laser light,Collège de France,Paris,France,other,1
153,Claude Cohen-Tannoudji,male,1997,Physics,for development of methods to cool and trap atoms with laser light,École Normale Supérieure,Paris,France,other,1
154,William D. Phillips,male,1997,Physics,for development of methods to cool and trap atoms with laser light,National Institute of Standards and Technology,"Gaithersburg, MD",United States,research_institute,1
155,Robert B. Laughlin,male,1998,Physics,for their discovery of a new form of quantum fluid with fractionally charged excitations,Stanford University,"Stanford, CA",United States,university,1
156,Horst L. Störmer,male,1998,Physics,for their discovery of a new form of quantum fluid with fractionally charged excitations,Columbia University,"New York, NY",United States,university,1
157,Daniel C. Tsui,male,1998,Physics,for their discovery of a new form of quantum fluid with fractionally charged excitations,Princeton University,"Princeton, NJ",United States,university,1
158,Gerardus 't Hooft,male,1999,Physics,for elucidating the quantum structure of electroweak interactions in physics,Utrecht University,Utrecht,Netherlands,university,1
159,Martinus J.G. Veltman,male,1999,Physics,for elucidating the quantum structure of electroweak interactions in physics,,,,unknown,1
160,Jacobus Henricus van 't Hoff,male,1901,Chemistry,in recognition of the extraordinary services he has rendered by the discovery of the laws of chemical dynamics and osmotic pressure in solutions,Berlin University,Berlin,Germany,university,1
161,Hermann Emil Fischer,male,1902,Chemistry,in recognition of the extraordinary services he has rendered by his work on sugar and purine syntheses,Berlin University,Berlin,Germany,university,1
162,Svante August Arrhenius,male,1903,Chemistry,in recognition of the extraordinary services he has rendered to the advancement of chemistry by his electrolytic theory of dissociation,Stockholm University,Stockholm,Sweden,university,1
163,Sir William Ramsay,male,1904,Chemistry,"in recognition of his services in the discovery of the inert gaseous elements in air, and his determination of their place in the periodic system",University College,London,United Kingdom,university,1
164,Johann Friedrich Wilhelm Adolf von Baeyer,male,1905,Chemistry,"in recognition of his services in the advancement of organic chemistry and the chemical industry, through his work on organic dyes and hydroaromatic compounds",Munich University,Munich,Germany,university,1
165,Henri Moissan,male,1906,Chemistry,"in recognition of the great services rendered by him in his investigation and isolation of the element fluorine, and for the adoption in the service of science of the electric furnace called after him",Sorbonne University,Paris,France,university,1
166,Eduard Buchner,male,1907,Chemistry,for his biochemical researches and his discovery of cell-free fermentation,Landwirtschaftliche Hochschule (Agricultural College),Berlin,Germany,university,1
167,Ernest Rutherford,male,1908,Chemistry,"for his investigations into the disintegration of the elements, and the chemistry of radioactive substances",Victoria University,Manchester,United Kingdom,university,1
